Arquivo, Linha, Coluna, Vulnerabilidade, Descricao
c:\srci\lexico.cpp, 24, 9, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\lexico.cpp, 73, 26, Comparacao com valores fixos, Condicoes com comparacao com valor fixo pode indicar codigo malicioso
c:\srci\lexico.cpp, 128, 26, Comparacao com valores fixos, Condicoes com comparacao com valor fixo pode indicar codigo malicioso
c:\srci\lexico.cpp, 152, 18, Comparacao com valores fixos, Condicoes com comparacao com valor fixo pode indicar codigo malicioso
c:\srci\lexico.cpp, 156, 18, Comparacao com valores fixos, Condicoes com comparacao com valor fixo pode indicar codigo malicioso
c:\srci\lexico.cpp, 213, 19, Comparacao com valores fixos, Condicoes com comparacao com valor fixo pode indicar codigo malicioso
c:\srci\lexico.cpp, 221, 20, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\lexico.cpp, 225, 28, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\lexico.cpp, 311, 20, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\lexico.cpp, 315, 28, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\lexico.cpp, 364, 23, Comparacao com valores fixos, Condicoes com comparacao com valor fixo pode indicar codigo malicioso
c:\srci\lexico.cpp, 424, 24, Comparacao com valores fixos, Condicoes com comparacao com valor fixo pode indicar codigo malicioso
c:\srci\lexico.cpp, 434, 12, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\lexico.cpp, 437, 19, Comparacao com valores fixos, Condicoes com comparacao com valor fixo pode indicar codigo malicioso
c:\srci\lexico.cpp, 443, 19, Comparacao com valores fixos, Condicoes com comparacao com valor fixo pode indicar codigo malicioso
c:\srci\lexico.cpp, 454, 26, Comparacao com valores fixos, Condicoes com comparacao com valor fixo pode indicar codigo malicioso
c:\srci\lexico.cpp, 460, 19, Comparacao com valores fixos, Condicoes com comparacao com valor fixo pode indicar codigo malicioso
c:\srci\lexico.cpp, 466, 19, Comparacao com valores fixos, Condicoes com comparacao com valor fixo pode indicar codigo malicioso
c:\srci\lexico.cpp, 477, 19, Comparacao com valores fixos, Condicoes com comparacao com valor fixo pode indicar codigo malicioso
c:\srci\lexico.cpp, 483, 19, Comparacao com valores fixos, Condicoes com comparacao com valor fixo pode indicar codigo malicioso
c:\srci\lexico.cpp, 489, 26, Comparacao com valores fixos, Condicoes com comparacao com valor fixo pode indicar codigo malicioso
c:\srci\lexico.cpp, 500, 19, Comparacao com valores fixos, Condicoes com comparacao com valor fixo pode indicar codigo malicioso
c:\srci\lexico.cpp, 506, 19, Comparacao com valores fixos, Condicoes com comparacao com valor fixo pode indicar codigo malicioso
c:\srci\lexico.cpp, 512, 26, Comparacao com valores fixos, Condicoes com comparacao com valor fixo pode indicar codigo malicioso
c:\srci\lexico.cpp, 553, 26, Comparacao com valores fixos, Condicoes com comparacao com valor fixo pode indicar codigo malicioso
c:\srci\lexico.cpp, 559, 26, Comparacao com valores fixos, Condicoes com comparacao com valor fixo pode indicar codigo malicioso
c:\srci\lexico.cpp, 570, 26, Comparacao com valores fixos, Condicoes com comparacao com valor fixo pode indicar codigo malicioso
c:\srci\lexico.cpp, 581, 19, Comparacao com valores fixos, Condicoes com comparacao com valor fixo pode indicar codigo malicioso
c:\srci\lexico.cpp, 587, 26, Comparacao com valores fixos, Condicoes com comparacao com valor fixo pode indicar codigo malicioso
c:\srci\lexico.cpp, 590, 30, Comparacao com valores fixos, Condicoes com comparacao com valor fixo pode indicar codigo malicioso
c:\srci\lexico.cpp, 604, 19, Comparacao com valores fixos, Condicoes com comparacao com valor fixo pode indicar codigo malicioso
c:\srci\lexico.cpp, 610, 19, Comparacao com valores fixos, Condicoes com comparacao com valor fixo pode indicar codigo malicioso
c:\srci\lexico.cpp, 616, 19, Comparacao com valores fixos, Condicoes com comparacao com valor fixo pode indicar codigo malicioso
c:\srci\lexico.cpp, 622, 19, Comparacao com valores fixos, Condicoes com comparacao com valor fixo pode indicar codigo malicioso
c:\srci\lexico.cpp, 625, 30, Comparacao com valores fixos, Condicoes com comparacao com valor fixo pode indicar codigo malicioso
c:\srci\lexico.cpp, 639, 26, Comparacao com valores fixos, Condicoes com comparacao com valor fixo pode indicar codigo malicioso
c:\srci\lexico.cpp, 650, 19, Comparacao com valores fixos, Condicoes com comparacao com valor fixo pode indicar codigo malicioso
c:\srci\lexico.cpp, 666, 19, Comparacao com valores fixos, Condicoes com comparacao com valor fixo pode indicar codigo malicioso
c:\srci\lexico.cpp, 672, 26, Comparacao com valores fixos, Condicoes com comparacao com valor fixo pode indicar codigo malicioso
c:\srci\lexico.cpp, 683, 19, Comparacao com valores fixos, Condicoes com comparacao com valor fixo pode indicar codigo malicioso
c:\srci\lexico.cpp, 689, 26, Comparacao com valores fixos, Condicoes com comparacao com valor fixo pode indicar codigo malicioso
c:\srci\lexico.cpp, 700, 19, Comparacao com valores fixos, Condicoes com comparacao com valor fixo pode indicar codigo malicioso
c:\srci\lexico.cpp, 726, 26, Comparacao com valores fixos, Condicoes com comparacao com valor fixo pode indicar codigo malicioso
c:\srci\lexico.cpp, 737, 19, Comparacao com valores fixos, Condicoes com comparacao com valor fixo pode indicar codigo malicioso
c:\srci\lexico.cpp, 795, 14, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\lexico.cpp, 842, 26, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\lexico.cpp, 867, 13, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\lexico.cpp, 885, 17, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\lexico.cpp, 886, 17, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\lexico.cpp, 887, 15, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\lexico.cpp, 982, 17, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\lexico.cpp, 983, 17, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\lexico.cpp, 984, 15, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 102, 16, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 193, 13, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 219, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 220, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 221, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 230, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 231, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 232, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 241, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 242, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 243, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
c:\srci\srcimain.cpp, 244, 18, Ausencia de teste de retorno de funcao, Falta de teste de retorno pode ocasionar ataques por comprometimento da camada subjacente
